"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 29/03/2006 :
Site 74188 008 (id 5339) --> site 74188 008 (id 11828)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°008
id 5339","13/03/06
00:00","16/03/06
00:00","","1500","1040","","","60","12","4.0","8","4","2","2","2","2","?","?","","?","?","","","","X","","","X","","","","X","","","X","","","","","","B","er"
"Date du constat : 17/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : L'avalanche est arrivée à environ 40-50m de la route goudronnée.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008
id 5339","20/01/06
00:00","23/01/06
00:00","","1550","1100","","","30","15","3.0","4","4","2","2","2","2","21-50","","","","?","","","","X","","","X","","","","X","","","X","","","","","","B","er"
"Date du constat : 23/01/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008
id 5339","22/02/05
00:00","22/02/05
00:00","","1550","1100","","X","50","10","2.0","4","4","2","1","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 24/02/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008
id 5339","05/02/05
00:00","06/02/05
00:00","","1600","1100","","X","50","10","2.0","4","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 09/02/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008
id 5339","01/02/04
00:00","01/02/04
00:00","","1630","1040","","X","100","15","2.0","4","4","2","2","2","2","0","","er","","X","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"n°008
id 5339","01/01/03
00:00","15/03/03
00:00","","1550","1050","","","","","","2","4","2","2","2","2","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Avalanche par petites coulées successives pendant plusieurs jours après chaques chutes de neige (pendant les heures chaudes).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°008
id 5339","31/12/93
00:00","31/12/93
00:00","","1600","1080","","","","","","2","4","2","2","2","2","21-50","","","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°008
id 5339","22/12/91
00:00","22/12/91
00:00","","1600","1080","","","","","","2","4","2","2","2","2","21-50","","","","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°008
id 5339","10/12/81
00:00","10/12/81
00:00","","1500","1040","","","","","","2","4","2","2","2","2","51-
100","","","X","","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°008
id 5339","04/02/80
00:00","04/02/80
00:00","","1500","1100","","","","","","2","4","2","2","2","2","1-20","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°008
id 5339","01/02/78
00:00","01/02/78
00:00","","1500","1040","","","","","","5","4","2","2","2","2","21-50","X","er","","","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°008
id 5339","01/02/78
00:00","01/02/78
00:00","","","","","","","","","5","4","2","2","2","2","21-50","X","er","","","","","","","X","","X","","","","X","","","X","","","","","","",""
