"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°001
id 1784","28/12/93
00:00","29/12/93
00:00","1850","960","","","","","","2","4","2","2","2","2","er","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 1784","15/05/91
00:00","15/05/91
00:00","1800","960","","","","","","2","4","2","2","2","2","21-50","","","X","","","X","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : Cône observé","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 1784","01/03/91
00:00","31/03/91
00:00","1800","960","","","","","","4","4","2","2","2","2","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Cône observé le 23/3/91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 1784","24/01/87
00:00","24/01/87
00:00","1800","960","","","","","","2","4","2","2","2","2","0","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°001
id 1784","25/01/86
00:00","25/01/86
00:00","1800","960","","","","","","5","5","5","2","2","5",">100","","","","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°001
id 1784","02/04/85
00:00","02/04/85
00:00","1700","960","","","","","","2","4","2","2","2","2","er","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°001
id 1784","21/04/84
00:00","21/04/84
00:00","1900","1030","","","","","","2","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 1784","11/04/84
00:00","11/04/84
00:00","1940","1030","","","","","","2","4","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 1784","26/01/84
00:00","26/01/84
00:00","1090","1050","","","","","","9","4","9","2","9","9","21-50","X","er","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°001
id 1784","01/09/72
00:00","31/08/73
00:00","1800","950","","","","","","9","9","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 1784","01/09/71
00:00","31/08/72
00:00","","","","","","","","9","9","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 1784","01/09/68
00:00","31/08/69
00:00","","","","","","","","9","9","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 1784","01/09/66
00:00","31/08/67
00:00","","","","","","","","9","9","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°001
id 1784","01/09/65
00:00","31/08/66
00:00","","","","","","","","9","9","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
