"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","L'observation des événements a été arrêtée sur ce site à partir de la campagne 2003-2004.
Filiations entre les sites définies lors du toilettage du 17/07/2003 :
Site 73040 009 (id 3314) --> site 73040 009 (id 5998)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°009
id 3314","01/09/96
00:00","31/08/97
00:00","","","","","","","","","9","9","9","1","9","9",">100","","","","","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°009
id 3314","01/09/95
00:00","31/08/96
00:00","","2670","2200","","","","","","9","9","9","1","9","9",">100","","","","","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°009
id 3314","18/05/95
00:00","19/05/95
00:00","","2670","2200","","","","","","5","4","2","1","2","2","21-50","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°009
id 3314","05/11/94
00:00","05/11/94
00:00","","2550","2200","","","","","","4","4","1","1","1","1","21-50","","","","","","","","","X","","X","","","","X","","","X","","","","","","",""
"n°009
id 3314","20/02/67
00:00","21/02/67
00:00","","2600","1740","","","","","","1","1","9","9","9","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : Nuit du 20 au 21.2.67.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 3314","24/02/09
00:00","24/02/09
00:00","","2900","1900","","","","","","9","1","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 3314","18/02/09
00:00","18/02/09
00:00","","2900","1900","","","","","","9","1","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 3314","27/01/09
00:00","27/01/09
00:00","","","","","","","","","9","1","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 3314","21/01/06
00:00","21/01/06
00:00","","","","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 3314","12/02/04
00:00","12/02/04
00:00","","","","","","","","","9","4","9","9","9","9","","","","","","","","","","","","","","","","","","","","","","","","","",""
