"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"Date du constat : 28/02/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 9171","04/01/08
00:00","05/01/08
00:00","1900","1550","","","100","20","3.0","4","3","9","2","2","9","?","","","","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","I","N"
"Date du constat : 06/01/2008.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 9171","02/03/07
00:00","02/03/07
00:00","1900","1580","","","50","20","2.0","4","2","9","2","2","9","21-50","X","","X","X","","X","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 02/03/2007.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 9171","25/02/07
00:00","26/02/07
00:00","1900","1550","","","50","20","2.0","4","2","1","2","2","1","21-50","","","","X","X","","","","","","X","","","","X","","","X","","","","","","BS","N"
"Date du constat : 26/02/2007.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 9171","25/03/06
00:00","25/03/06
00:00","1950","1500","","","100","50","2.0","4","3","9","2","2","9","0","","","","","","X","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 26/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 9171","03/03/06
00:00","15/03/06
00:00","1850","1400","","","","","","4","2","1","2","9","1","51-
100","","","","X","X","X","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 23/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 9171","28/01/06
00:00","30/01/06
00:00","1800","1600","","","","","","4","3","9","2","2","9","0","X","","","X","","","X","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 30/01/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 9171","15/03/05
00:00","18/03/05
00:00","1850","1600","","","300","50","2.0","4","3","2","2","2","2","?","","","","X","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 22/03/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 9171","22/01/05
00:00","27/01/05
00:00","1850","1500","","","","","","9","2","2","2","2","1","21-50","X","er","X","X","","","","","","","X","","","","X","","","X","","","","","","I","er"
"Date du constat : 27/01/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 4038","01/03/04
00:00","30/03/04
00:00","1850","1400","","","","","","9","1","9","9","9","9","?","?","er","?","?","?","?","?","?","?","?","X","","","","X","","","X","","","","","","I","N"
"Date du constat : 30/03/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : CLPA N°1.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 4038","11/01/04
00:00","11/01/04
00:00","1850","1400","","","150","50","15.0","8","4","2","2","2","2","1-20","","er","X","X","X","X","","","X","X","X","","","","X","","","X","","","","","","I","N"
"Date du constat : 11/01/2004.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : CLPA N°1.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 4038","27/03/03
00:00","27/03/03
00:00","1850","1500","","","","","","5","1","5","2","2","5","er","","er","","X","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
