"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 26/04/2005 :
Site 73060 009 (id 3469) --> site 73060 009 (id 9790)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°009
id 3469","02/03/00
00:00","02/03/00
00:00","","1450","1275","","","","","","4","2","2","2","2","2","51-
100","","","","X","X","","","","","","","","X","","X","","","X","","","","","","",""
"n°009
id 3469","29/01/99
00:00","29/01/99
00:00","","1675","1250","","","","","","4","2","1","2","1","1",">100","X","N","","","","","X","","","","","","X","","X","","","X","","","","","","",""
"n°009
id 3469","30/11/96
00:00","30/11/96
00:00","","1600","1235","","","","","","4","2","1","2","5","1","21-50","","","","X","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°009
id 3469","03/04/95
00:00","03/04/95
00:00","","1600","1300","","","","","","4","3","2","2","2","2","0","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°009
id 3469","13/02/95
00:00","13/02/95
00:00","","1600","1200","","","","","","4","3","2","2","2","2","1-20","","","X","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°009
id 3469","23/01/95
00:00","23/01/95
00:00","","1650","1275","","","","","","4","2","2","2","2","2","21-50","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","",""
"n°009
id 3469","11/01/95
00:00","11/01/95
00:00","","1600","1230","","","","","","4","2","1","2","2","1","51-
100","","","","","X","","","","X","","X","","","","X","","","X","","","","","","",""
"n°009
id 3469","14/02/90
00:00","14/02/90
00:00","","1500","1200","","","","","","2","2","2","2","2","2","51-
100","X","O","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°009
id 3469","13/02/90
00:00","13/02/90
00:00","","1500","1200","","","","","","4","2","1","2","5","5","51-
100","X","O","","","X","","","","","","X","","","","X","","","X","","","","","","",""
"n°009
id 3469","19/03/88
00:00","19/03/88
00:00","","1650","1150","","","","","","2","2","2","2","2","2","1-20","X","SO","X","X","","","","","X","","X","","","","X","","","X","","","","","","",""
"Remarque : CD94 intercepté.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 3469","18/03/88
00:00","18/03/88
00:00","","1500","1200","","","","","","2","2","2","2","2","2","21-50","X","SO","X","X","X","X","","","","X","X","","","","X","","","X","","","","","","",""
"n°009
id 3469","12/02/88
00:00","12/02/88
00:00","","1450","1100","","","","","","5","5","5","2","2","5","21-50","X","SO","X","X","X","","","","X","","X","","","","X","","","","","","","X","","",""
"Remarque : CD94 intercepté.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°009
id 3469","08/02/88
00:00","08/02/88
00:00","","1500","1100","","","","","","4","2","1","2","1","1","21-50","","","","","X","","X","","X","X","X","","","","X","","","","","","","X","","",""
"Remarque : CD94 intercepté.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
