"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 23/08/2006 :
Site 04062 004 (id 28) --> site 04062 004 (id 12393)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°004
id 12393","12/03/16
10:00","12/03/16
17:00","","2200","1400","","","40","5","3.0","4","5","2","2","2","2","0","","","X","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 14/03/2016.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 12393","21/02/16
08:00","21/02/16
12:00","","2200","1350","","","40","3","1.0","4","5","2","2","2","2","0","","","X","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 21/02/2016.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 12393","08/02/16
12:00","08/02/16
18:00","","2200","1350","","","20","3","1.0","4","5","2","2","2","2","21-50","","","X","X","","X","","","X","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 10/02/2016.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 12393","02/03/15
00:00","02/03/15
00:00","","2200","1350","","","50","3","1.0","4","4","2","2","2","2","0","","","X","","","X","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 02/03/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 12393","11/02/15
00:00","12/02/15
00:00","","2200","1350","","","80","3","2.0","4","4","2","2","2","2","0","","","X","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 13/02/2015.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 12393","08/03/14
00:00","08/03/14
00:00","","2200","1300","","","30","3","1.0","4","2","2","2","2","2","0","X","E","X","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 10/03/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 12393","04/01/14
00:00","04/01/14
00:00","","2100","1350","","","25","3","1.0","4","5","2","2","2","2","1-20","","","X","","","X","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 06/01/2014.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 12393","14/04/13
00:00","14/04/13
00:00","","2100","1400","","","70","3","1.0","4","5","2","2","2","2","0","","","X","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 15/04/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 12393","20/03/13
00:00","20/03/13
00:00","","2100","1350","","","50","4","1.0","4","2","2","2","2","2","51-
100","","","","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 21/03/2013.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°004
id 12393","03/03/13
00:00","03/03/13
00:00","","2100","1350","","","25","3","2.0","4","5","2","2","2","2","0","","","X","","","","","X","","","X","","","","X","","","X","","","","","","B","N"
