"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 15/03/2004 :
Site 73120 006 (id 3632) --> site 73120 006 (id 8129)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°006
id 3632","08/02/03
00:00","10/02/03
00:00","","1350","580","","","50","10","3.0","2","4","5","2","2","2","21-50","","er","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Site à coulées répétitives. Non complètement purgé à ce jour (10/02). Remarque dépôt:Dépôt : 50 m * 10 * 3.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 3632","15/02/00
00:00","15/03/00
00:00","","1350","600","","","","","","2","4","2","2","2","2","51-
100","","","","","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°006
id 3632","01/09/98
00:00","31/08/99
00:00","","1350","550","","","","","","9","9","9","9","9","9","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"Remarque : Site à coulées répétitives > 10.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 3632","25/01/95
00:00","25/01/95
00:00","","1350","540","","","","","","2","4","2","2","2","2","21-50","","","","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°006
id 3632","04/01/94
00:00","05/01/94
00:00","","1350","650","","","","","","2","4","2","2","2","2","51-
100","","","","","","X","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Déclenchement par plaques en plusieurs fois.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 3632","21/12/91
00:00","22/12/91
00:00","","1350","560","","","","","","2","4","2","2","2","2","51-
100","","","","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°006
id 3632","15/02/90
00:00","16/02/90
00:00","","1350","560","","","","","","2","4","2","2","2","2","21-50","","","","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°006
id 3632","01/04/89
00:00","30/04/89
00:00","","1350","450","","","","","","2","4","2","2","2","2","21-50","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
"n°006
id 3632","14/03/88
00:00","14/03/88
00:00","","1350","450","","","","","","2","2","2","5","2","2","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Déclenchement par plaques en plusieurs fois.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 3632","13/03/88
00:00","13/03/88
00:00","","1350","450","","","","","","2","2","2","5","2","2","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Déclenchement par plaques en plusieurs fois.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 3632","12/03/88
00:00","12/03/88
00:00","","1350","450","","","","","","2","2","2","5","2","2","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Déclenchement par plaques en plusieurs fois.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°006
id 3632","15/02/88
00:00","15/02/88
00:00","","1300","540","","","","","","2","2","2","2","5","2","21-50","","","","","","","","X","","","X","","","","X","","","X","","","","","","",""
