"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42"
"Historique :","","","Filiations entre les sites définies lors du toilettage du 10/09/2004 :
Site 05090 014 (id 729) --> site 05090 200 (id 8813)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Site","Dates","","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°200
id 8813","23/03/10
00:00","24/03/10
00:00","","1700","1300","","X","20","20","0.800
0000
12","8","5","2","2","2","2","?","?","","X","?","","","","X","","","X","","","","X","","","","","","","X","","B","N"
"Date du constat : 25/03/2010.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : la coulée s'est arrêtée sur la route forestière du Roy sur une longueur de 5 M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°200
id 8813","23/01/09
00:00","30/01/09
00:00","","1600","1300","","X","5","10","1.0","4","2","2","2","2","2","21-50","","","","X","?","?","?","?","?","?","X","","","","X","","","","","","","X","","B","N"
"Date du constat : 02/02/2009.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Remarque : La zone plane est de 5m : arrivée sur la route forestière du Roy.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°014
id 729","25/03/97
00:00","25/03/97
00:00","","","1290","","","","","","9","9","9","2","9","9","er","er","er","er","er","er","er","er","er","er","er","","","","","X","","","X","","","","","","",""
"n°014
id 729","06/01/94
00:00","06/01/94
00:00","","2050","1250","","","","","","2","2","2","2","2","2","51-
100","X","S","X","","X","X","X","","X","X","X","","","","X","","","X","","","","","","",""
"n°014
id 729","17/03/92
00:00","17/03/92
00:00","","2050","1450","","","","","","9","9","9","2","9","9","er","er","er","er","er","er","er","er","er","er","er","","","","","X","","","X","","","","","","",""
"n°014
id 729","02/05/90
00:00","02/05/90
00:00","","2050","1400","","","","","","9","9","9","2","9","9","er","er","er","er","er","er","er","er","er","er","er","","","","","X","","","X","","","","","","",""
"n°014
id 729","06/05/88
00:00","06/05/88
00:00","","2050","1300","","","","","","9","9","9","2","9","9","er","er","er","er","er","er","er","er","er","er","er","","","","","X","","","X","","","","","","",""
"n°014
id 729","12/05/86
00:00","12/05/86
00:00","","2050","1300","","","","","","9","9","9","2","9","9","er","er","er","er","er","er","er","er","er","er","er","","","","","X","","","X","","","","","","",""
"n°014
id 729","01/09/81
00:00","18/01/82
00:00","","2050","1250","","","","","","9","9","9","5","9","9","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°014
id 729","01/09/80
00:00","18/01/81
00:00","","2050","1250","","","","","","9","9","9","5","9","9","er","er","er","er","er","er","er","er","er","er","er","X","","","","X","","","X","","","","","","",""
"n°014
id 729","05/05/80
00:00","05/05/80
00:00","","1950","1280","","","","","","9","9","9","9","9","9","er","er","er","er","er","er","er","er","er","er","er","","","","","X","","","X","","","","","","",""
"n°014
id 729","20/02/78
00:00","20/02/78
00:00","","2000","1280","","","","","","2","5","2","5","2","2","21-50","","","X","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Coulée peu importante.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
