"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41"
"Site","Dates","","Altitudes","","","","Dépôt","","","Caractéristiques","","","","","","Météo 3 jours
précédents","","","","","Météo 4h
précédentes","","","","","","Causes","","","","Vic-
times","","","Dégâts ou lieux
atteints","","","","","","Obs",""
"numéro
id","date1","date2","altitude départ","altitude arrivée","versant opposé","zone plane","longeur (m)","largeur (m)","hauteur (m)","A - type départ","B - sol visible ?","C - humidité départ","D - couloir / versant","E - aérosol ?","F - neige dépôt","hauteur de neige","vent fort","direction vent","redoux","pluie","neige","pluie","vent fort","ciel clair","nuages","brouillard","naturelle","involontaire","artificielle","inconnue","néant","blessés","morts","néant","construction","poteaux","forêt","routes","cours d'eau","visibilité","alerte bd event"
"n°204
id 9975","04/03/06
00:00","05/03/06
00:00","2400","1750","","","","","","8","2","1","1","5","9",">100","X","S","","","","","","","","","X","","","","X","","","","","","X","","","B","N"
"Date du constat : 07/03/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°204
id 9975","19/02/06
00:00","21/02/06
00:00","2300","1750","","","100","10","2.5","8","2","1","5","9","1","51-
100","X","SE","","","","","","","","","X","","","","X","","","X","","","","","","B","N"
"Date du constat : 21/02/2006.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°026
id 678","08/05/05
00:00","12/05/05
00:00","2100","1750","","","300","2","3.0","8","3","2","2","2","2","0","","","X","X","?","?","?","?","?","?","X","","","","X","","","X","","","","","","B","er"
"Date du constat : 12/05/2005.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°026
id 678","12/01/04
00:00","13/01/04
00:00","2350","1700","X","X","","","","5","5","5","1","2","5",">100","X","O","X","X","","X","X","","","","X","","","","X","","","","","","X","","X","er","er"
"n°026
id 678","01/11/03
00:00","01/11/03
00:00","2450","1800","X","X","","","","2","2","2","1","2","2","51-
100","X","S","X","","","","","X","","","X","","","","X","","","X","","","","","","er","er"
"Remarque : Volume non évaluable.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°026
id 678","30/04/03
00:00","30/04/03
00:00","2500","1710","","","","","","1","4","2","5","2","2","er","","er","","X","","X","","","","","X","","","","X","","","","","","","","X","",""
"n°026
id 678","26/04/03
00:00","27/04/03
00:00","2450","1880","","","","","","1","3","5","1","2","5","er","","er","","X","","X","","","","","X","","","","X","","","","","","X","","","",""
"n°026
id 678","14/11/02
00:00","15/11/02
00:00","2150","1735","","","","","","2","2","2","5","2","2","51-
100","X","S","X","","","X","X","","","","X","","","","X","","","X","","","","","","",""
"Remarque : Plusieurs points de départ et d'arrivée différents.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°026
id 678","19/03/02
00:00","19/03/02
00:00","2400","1750","","","","","","4","3","2","2","2","2","0","","","","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°026
id 678","01/03/02
00:00","01/03/02
00:00","2150","1750","","","","","","2","2","2","2","2","2","21-50","","","","","X","X","","","","","X","","","","X","","","X","","","","","","",""
"n°026
id 678","21/03/01
00:00","21/03/01
00:00","2400","1735","","","","","","9","3","2","1","2","2","er","X","S","X","X","","X","X","","","","X","","","","X","","","","","","X","","X","",""
"n°026
id 678","06/01/01
00:00","06/01/01
00:00","2100","1750","","","","","","1","1","2","1","2","2","21-50","X","S","","X","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°026
id 678","04/05/00
00:00","04/05/00
00:00","2500","1700","","","","","","2","4","2","1","2","2","er","","","","X","","","","X","","","X","","","","X","","","X","","","","","","",""
"Remarque : Prébois, chamois, chevreuils.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"n°026
id 678","17/04/00
00:00","17/04/00
00:00","","","","","","","","2","2","2","5","2","2","51-
100","","","X","","","X","","","","","X","","","","X","","","X","","","","","","",""
"n°026
id 678","28/12/99
00:00","28/12/99
00:00","2400","1720","","","","","","4","2","1","5","1","1","51-
100","X","er","","","","","X","","","","X","","","","X","","","X","","","","","","",""
